Portal,Latitude,Longitude,Team,Level,Health,Resos,Links,Fields,Destroy AP,Deploy AP
"?",50.139233,8.624308,ENL,,,,4,2,NaN,1750
"?",50.14813,8.62324,ENL,,,,3,2,NaN,1750
"?",50.088502,8.599646,RES,,,,1,2,NaN,1750
"?",50.091299,8.598311,RES,,,,1,1,NaN,1750
"?",50.09075,8.581455,RES,,,,7,6,NaN,1750
"?",50.112592,8.618439,ENL,,,,1,1,NaN,1750
"?",50.10685,8.609084,ENL,,,,2,2,NaN,1750
"?",50.111396,8.619269,ENL,,,,1,2,NaN,1750
"?",50.103151,8.601426,RES,,,,1,2,NaN,1750
"?",50.10182,8.594499,RES,,,,4,8,NaN,1750
"?",50.104825,8.584964,RES,,,,8,7,NaN,1750
"?",50.096677,8.599875,RES,,,,6,7,NaN,1750
"?",50.094904,8.578313,RES,,,,1,1,NaN,1750
"?",50.136062,8.570876,ENL,,,,1,1,NaN,1750
"?",50.131678,8.592324,ENL,,,,9,4,NaN,1750
"?",50.135662,8.573226,ENL,,,,2,1,NaN,1750
"?",50.106716,8.612046,ENL,,,,0,1,NaN,1750
"?",50.094045,8.599811,RES,,,,1,2,NaN,1750
"?",50.042467,8.694185,ENL,,,,2,4,NaN,1750
"?",49.997685,8.664311,ENL,,,,1,2,NaN,1750
"?",49.997617,8.667595,ENL,,,,1,2,NaN,1750
"?",49.674155,8.980295,ENL,,,,1,1,NaN,1750
"?",49.710596,8.846108,ENL,,,,2,2,NaN,1750
"?",49.644883,9.087506,ENL,,,,4,5,NaN,1750
"?",50.258893,9.285567,ENL,,,,2,1,NaN,1750
"?",50.29398,9.117294,ENL,,,,1,1,NaN,1750
"?",50.293873,9.117621,ENL,,,,1,1,NaN,1750
"?",50.135515,8.625715,ENL,,,,2,2,NaN,1750
"?",50.140324,8.610579,ENL,,,,3,2,NaN,1750
"?",50.148001,8.621132,ENL,,,,1,1,NaN,1750
"?",50.125162,8.633691,ENL,,,,2,1,NaN,1750
"?",50.123858,8.636236,ENL,,,,2,1,NaN,1750
"?",50.152321,8.611094,ENL,,,,3,2,NaN,1750
"?",50.149789,8.614921,ENL,,,,1,3,NaN,1750
"?",50.151226,8.62302,ENL,,,,2,2,NaN,1750
"?",50.121485,8.619204,RES,,,,4,2,NaN,1750
"?",50.068424,9.165695,RES,,,,1,1,NaN,1750
"?",50.108096,9.214013,RES,,,,2,2,NaN,1750
"?",50.371667,9.060365,ENL,,,,1,1,NaN,1750
"?",50.287934,8.95067,ENL,,,,1,1,NaN,1750
"?",50.327448,9.009323,ENL,,,,0,1,NaN,1750
"?",54.414269,13.594549,ENL,,,,2,2,NaN,1750
"?",55.544443,21.123591,ENL,,,,2,2,NaN,1750
"?",54.442874,13.566329,ENL,,,,2,1,NaN,1750
"?",50.146128,8.611682,ENL,,,,1,3,NaN,1750
"?",50.148413,8.576685,ENL,,,,12,9,NaN,1750
"?",50.190582,8.770621,RES,,,,2,1,NaN,1750
"?",50.14179,8.781438,RES,,,,1,1,NaN,1750
"?",50.147489,8.792387,RES,,,,1,1,NaN,1750
"?",50.123785,8.607583,ENL,,,,2,1,NaN,1750
"?",50.123298,8.638097,ENL,,,,1,1,NaN,1750
"?",50.123671,8.639698,ENL,,,,1,1,NaN,1750
"?",50.141397,8.565672,ENL,,,,1,1,NaN,1750
"?",50.141408,8.572313,ENL,,,,0,1,NaN,1750
"?",50.095753,9.049348,RES,,,,5,2,NaN,1750
"?",50.062779,8.529861,RES,,,,1,1,NaN,1750
"?",50.063815,8.557826,RES,,,,1,1,NaN,1750
"?",49.709251,8.849396,ENL,,,,1,2,NaN,1750
"?",50.076983,8.610233,ENL,,,,0,1,NaN,1750
"?",50.076809,8.604095,ENL,,,,1,1,NaN,1750
"?",50.076437,8.617798,ENL,,,,1,1,NaN,1750
"?",50.172737,8.586691,RES,,,,1,1,NaN,1750
"?",50.161495,9.300766,RES,,,,0,1,NaN,1750
"?",50.161483,9.332156,RES,,,,1,1,NaN,1750
"?",50.113503,8.569897,RES,,,,3,1,NaN,1750
"?",50.090533,8.615478,RES,,,,0,1,NaN,1750
"?",50.131937,8.618588,ENL,,,,5,5,NaN,1750
"?",50.139614,8.601302,ENL,,,,2,1,NaN,1750
"?",50.09379,8.599597,RES,,,,1,2,NaN,1750
"?",50.123626,8.56562,RES,,,,3,4,NaN,1750
"?",50.122091,8.566523,RES,,,,2,1,NaN,1750
"?",50.132065,8.563628,RES,,,,2,2,NaN,1750
"?",49.942482,8.608536,ENL,,,,1,2,NaN,1750
"?",50.031023,8.471509,ENL,,,,6,5,NaN,1750
"?",49.941926,8.608725,ENL,,,,1,2,NaN,1750
"?",50.172968,8.586521,RES,,,,1,2,NaN,1750
"?",50.043301,8.699978,ENL,,,,1,2,NaN,1750
"?",49.998796,8.680904,ENL,,,,1,3,NaN,1750
"?",50.027305,9.363727,RES,,,,1,2,NaN,1750
"?",50.193391,8.593662,RES,,,,3,2,NaN,1750
"?",50.169434,8.622052,RES,,,,1,1,NaN,1750
"?",50.169285,8.622688,RES,,,,1,1,NaN,1750
"?",50.039755,8.707275,ENL,,,,0,1,NaN,1750
"?",49.944359,8.607698,ENL,,,,1,2,NaN,1750
"?",49.944835,8.606971,ENL,,,,1,1,NaN,1750
"?",50.039258,8.608099,ENL,,,,2,1,NaN,1750
"?",49.993674,8.592124,ENL,,,,1,1,NaN,1750
"?",49.988862,8.591766,ENL,,,,1,1,NaN,1750
"?",49.799411,9.151326,ENL,,,,2,2,NaN,1750
"?",49.76204,9.084655,ENL,,,,0,1,NaN,1750
"?",49.711762,9.097985,ENL,,,,1,2,NaN,1750
"?",50.311291,8.918816,RES,,,,1,1,NaN,1750
"?",50.278346,8.802591,RES,,,,0,2,NaN,1750
"?",50.256977,8.792237,RES,,,,2,2,NaN,1750
"?",50.100582,8.561237,RES,,,,2,1,NaN,1750
"?",50.099824,8.56082,RES,,,,1,1,NaN,1750
"?",49.712221,9.099147,ENL,,,,1,1,NaN,1750
"?",50.115896,8.559123,RES,,,,2,3,NaN,1750
"?",50.116869,8.561462,RES,,,,1,2,NaN,1750
"?",50.310929,8.917612,RES,,,,1,1,NaN,1750
"?",50.132239,8.576089,ENL,,,,1,1,NaN,1750
"?",50.133387,8.573679,ENL,,,,1,1,NaN,1750
"?",50.129128,8.578569,ENL,,,,1,1,NaN,1750
"?",50.128252,8.578939,ENL,,,,1,1,NaN,1750
"?",50.12355,8.587861,ENL,,,,2,1,NaN,1750
"?",49.677631,8.933633,ENL,,,,2,2,NaN,1750
"?",50.009282,8.653958,ENL,,,,0,1,NaN,1750
"?",49.740274,9.036966,ENL,,,,1,1,NaN,1750
"?",50.161255,8.624374,ENL,,,,1,1,NaN,1750
"?",50.163892,8.620033,ENL,,,,1,1,NaN,1750
"?",49.634225,9.075651,ENL,,,,1,1,NaN,1750
"?",50.154048,8.637535,ENL,,,,1,1,NaN,1750
"?",50.154782,8.634553,ENL,,,,2,2,NaN,1750
"?",49.942978,8.608354,ENL,,,,1,2,NaN,1750
"?",50.118499,8.56592,RES,,,,1,1,NaN,1750
"?",49.719328,8.86884,ENL,,,,1,1,NaN,1750
"?",50.152834,8.630962,ENL,,,,0,1,NaN,1750
"?",50.122281,8.566349,RES,,,,0,1,NaN,1750
"?",50.139739,8.604804,ENL,,,,2,1,NaN,1750
"?",49.941365,8.60919,ENL,,,,2,1,NaN,1750
"?",55.540275,21.12005,ENL,,,,1,1,NaN,1750
"?",50.143877,8.607913,ENL,,,,1,1,NaN,1750
"?",50.171547,8.624902,RES,,,,2,1,NaN,1750
"?",50.198959,8.591917,RES,,,,1,1,NaN,1750
"?",50.037881,8.595583,RES,,,,1,0,NaN,1750
"?",50.076975,8.626992,RES,,,,1,0,NaN,1750
"?",50.051972,8.722261,ENL,,,,3,0,NaN,1750
"?",50.032141,8.788266,ENL,,,,1,0,NaN,1750
"?",50.004377,9.062437,RES,,,,1,0,NaN,1750
"?",49.900076,8.508365,ENL,,,,1,0,NaN,1750
"?",50.127824,8.603449,RES,,,,2,0,NaN,1750
"?",50.132428,8.564553,RES,,,,1,0,NaN,1750
"?",50.06272,9.233253,RES,,,,1,0,NaN,1750
"?",50.14069,8.565729,ENL,,,,1,0,NaN,1750
"?",50.134052,8.57086,ENL,,,,1,0,NaN,1750
"?",49.781361,9.191402,RES,,,,1,0,NaN,1750
"?",49.704023,9.26384,RES,,,,1,0,NaN,1750
"?",50.123365,8.60273,RES,,,,2,0,NaN,1750
"?",53.714069,7.178581,ENL,,,,4,0,NaN,1750
"?",58.895623,-2.89798,ENL,,,,1,0,NaN,1750
"?",50.124608,8.607167,RES,,,,1,0,NaN,1750
"?",50.131876,8.567059,RES,,,,1,0,NaN,1750
"?",50.127539,8.610653,ENL,,,,1,0,NaN,1750
"?",50.094637,8.575887,RES,,,,1,0,NaN,1750
"?",49.829114,8.947337,ENL,,,,1,0,NaN,1750
"?",50.143123,8.579619,ENL,,,,2,0,NaN,1750
"?",50.291124,9.119665,RES,,,,2,0,NaN,1750
"?",50.228291,9.281998,RES,,,,1,0,NaN,1750
"?",50.031158,8.462493,ENL,,,,1,0,NaN,1750
"?",50.13015,8.591902,RES,,,,1,0,NaN,1750
"?",50.063016,9.233389,RES,,,,1,0,NaN,1750
"?",57.982475,7.046897,ENL,,,,1,0,NaN,1750
"?",50.128295,8.612429,ENL,,,,1,0,NaN,1750
"?",50.154888,8.632253,ENL,,,,1,0,NaN,1750
"?",55.546602,8.156041,ENL,,,,1,0,NaN,1750
"?",53.719215,7.345733,ENL,,,,3,0,NaN,1750
"?",49.960471,9.180456,RES,,,,1,0,NaN,1750
"?",49.994986,9.579503,RES,,,,1,0,NaN,1750
"?",50.325392,8.763988,RES,,,,1,0,NaN,1750
"?",50.393248,9.016281,RES,,,,1,0,NaN,1750
"?",50.134908,8.624067,ENL,,,,1,0,NaN,1750
"?",58.091937,7.045752,ENL,,,,1,0,NaN,1750
"?",50.116619,8.600804,RES,,,,2,0,NaN,1750
"?",50.120275,8.609634,RES,,,,1,0,NaN,1750
"?",58.985344,-2.956636,ENL,,,,1,0,NaN,1750
"?",50.006747,8.775246,ENL,,,,1,0,NaN,1750
"?",50.180938,8.596166,RES,,,,1,0,NaN,1750
"?",49.901168,8.507036,ENL,,,,1,0,NaN,1750
"?",49.700055,8.621693,ENL,,,,1,0,NaN,1750
"?",49.682799,8.779034,ENL,,,,1,0,NaN,1750
"?",49.961874,9.176864,RES,,,,1,0,NaN,1750
"?",55.726006,21.082531,ENL,,,,1,0,NaN,1750
"?",50.027898,8.785503,ENL,,,,1,0,NaN,1750
"?",50.190281,8.91466,RES,,,,1,0,NaN,1750
"?",50.285798,8.944832,RES,,,,1,0,NaN,1750
"?",50.098232,8.567661,ENL,,,,1,0,NaN,1750
"?",50.100173,8.57865,ENL,,,,1,0,NaN,1750
"?",50.146463,8.559934,ENL,,,,1,0,NaN,1750
"?",50.290093,9.106678,RES,,,,1,0,NaN,1750
"?",50.391631,9.134783,RES,,,,1,0,NaN,1750
"?",50.144928,9.020484,ENL,,,,1,0,NaN,1750
"?",50.203338,9.136955,ENL,,,,1,0,NaN,1750
"?",50.135035,8.577446,ENL,,,,2,0,NaN,1750
"?",58.962849,-2.748346,ENL,,,,1,0,NaN,1750
"?",50.000295,9.182641,RES,,,,1,0,NaN,1750
"?",50.249378,9.288247,RES,,,,1,0,NaN,1750
"?",55.572044,8.308781,ENL,,,,1,0,NaN,1750
"Energie für Nied",50.106341,8.585238,RES,6,100,8,4,4,4948,1750
"Offene Bibliothek",50.108214,8.584154,RES,7,100,8,3,2,3261,1750
"Uhu Pfahl",50.11025,8.585496,RES,7,100,8,5,4,5135,1750
"Eisenbahnersiedlung",50.107681,8.584401,RES,7,100,8,10,14,13570,1750
"Wikingerboot",50.109823,8.584966,RES,7,100,8,5,6,6635,1750
"Selzerbrunnen",50.110435,8.584891,RES,7,100,8,5,3,4385,1750
"Faulbrunnen Nied",50.108672,8.584599,RES,7,85,8,4,4,4948,1750
"Regionalpark Grüngürtel FFM Nied-Sossenheim",50.109516,8.573374,NEU,1,0,0,0,0,0,1750
"Apostelkirche",50.107661,8.581207,RES,7,87,8,3,3,4011,1750
"Deutscher Bulle",50.107753,8.574085,RES,7,100,8,3,2,3261,1750
"Sossenheimer Obstpfad",50.112235,8.579702,RES,7,70,8,4,3,4198,1750
"Safari Nidda-Opelzoo",50.109944,8.573978,NEU,1,0,0,0,0,0,1750
"El Pilzo Art",50.107996,8.578751,RES,6,70,8,4,3,4198,1750
"Dreifaltigkeitskirche Nied",50.106949,8.581021,RES,6,85,8,4,5,5698,1750
"Signalanlage",50.107985,8.581015,RES,7,85,8,10,13,12820,1750
"GrünGürtel Frankfurt ""Niedwald""",50.110588,8.583708,RES,6,100,8,0,0,1200,1750
"El Paradiso",50.108148,8.579758,RES,6,97,8,2,1,2324,1750
